method,n_gold,n_gold_in_evidence,gold_in_evidence,n_gold_in_raw_summary,gold_in_raw_summary,n_gold_in_final_summary,gold_in_final_summary,retrieval_gold_coverage,raw_summary_gold_coverage,final_summary_gold_coverage,evidence_but_not_final,final_but_not_evidence,missing_from_evidence,missing_from_final
prompt_only,16,16,"26-317, 26-331, 26-344, 26-346, 26-348, 26-368, 26-369, 26-379, 26-389, 26-396, 26-398, 26-401, 26-403, 26-418, 26-424, 26-428",8,"26-331, 26-344, 26-348, 26-379, 26-398, 26-401, 26-403, 26-418",8,"26-331, 26-344, 26-348, 26-379, 26-398, 26-401, 26-403, 26-418",1.0,0.5,0.5,"26-317, 26-346, 26-368, 26-369, 26-389, 26-396, 26-424, 26-428",,,"26-317, 26-346, 26-368, 26-369, 26-389, 26-396, 26-424, 26-428"
rag,16,11,"26-331, 26-344, 26-348, 26-379, 26-389, 26-398, 26-401, 26-403, 26-418, 26-424, 26-428",10,"26-331, 26-344, 26-348, 26-379, 26-398, 26-401, 26-403, 26-418, 26-424, 26-428",11,"26-331, 26-344, 26-348, 26-379, 26-389, 26-398, 26-401, 26-403, 26-418, 26-424, 26-428",0.6875,0.625,0.6875,,,"26-317, 26-346, 26-368, 26-369, 26-396","26-317, 26-346, 26-368, 26-369, 26-396"
agentic_rag,16,14,"26-331, 26-344, 26-346, 26-348, 26-369, 26-379, 26-389, 26-396, 26-398, 26-401, 26-403, 26-418, 26-424, 26-428",10,"26-331, 26-344, 26-348, 26-379, 26-398, 26-401, 26-403, 26-418, 26-424, 26-428",14,"26-331, 26-344, 26-346, 26-348, 26-369, 26-379, 26-389, 26-396, 26-398, 26-401, 26-403, 26-418, 26-424, 26-428",0.875,0.625,0.875,,,"26-317, 26-368","26-317, 26-368"
contrastive_adaptive_rag,16,15,"26-317, 26-331, 26-344, 26-346, 26-348, 26-369, 26-379, 26-389, 26-396, 26-398, 26-401, 26-403, 26-418, 26-424, 26-428",10,"26-331, 26-344, 26-348, 26-379, 26-398, 26-401, 26-403, 26-418, 26-424, 26-428",15,"26-317, 26-331, 26-344, 26-346, 26-348, 26-369, 26-379, 26-389, 26-396, 26-398, 26-401, 26-403, 26-418, 26-424, 26-428",0.9375,0.625,0.9375,,,26-368,26-368
